,"
	",Symbol,Long/Short,Entry Date,Entry Price,Exit Price,Exit Date,Profit%,"
"
67,"
	",RBLX,Long,02/18/2022,$46.05*,$49.55, 03/18/2022,7.60%,"
"
68,"
	",TDOC,Long,03/04/2022,$63.75*,$67.25,03/18/2022,5.49%,"
"
69,"
	",FB,Long,02/03/2022,$203.50*,$211.90,03/18/2022,4.13%,"
"
70,"
	",PYPL,Long,02/03/2022,$105.20*,$114.40,03/18/2022,8.75%,"
"
71,"
	",PLTR,Long,03/08/2022,$10.85,$12.33,03/17/2022,13.64%,"
"
72,"
	",BILI,Long,02/22/2022,$24.96*,$27.50,03/17/2022,10.18%,"
"
73,"
	",SE,Long,03/04/2022,$96.35*,$110.35*,03/17/2022,14.54%,"
"
74,"
	",SCO,Long,12/30/2021,$6.83*,$7.22*,03/15/2022,5.71%,"
"
75,"
	",ING,Long,03/07/2022,$9.40,$10.52,03/09/2022,11.92%,"
"
76,"
	",DB,Long,03/07/2022,$9.84,$10.96,03/09/2022,11.38%,"
"
77,"
	",SQ,Long,03/07/2022,$95.75*,$107.00,03/09/2022,11.75%,"
"
78,"
	",AA,Short,03/04/2022,$88.10,$78.10,03/08/2022,11.35%,"
"
79,"
	",AI,Long,02/18/2022,$19.75*,$24.60,03/03/2022,24.56%,"
"
80,"
	",TDOC,Long,01/13/2022,$63.30*,$81.30,02/28/2022,28.44%,"
"
81,"
	",SE,Long,02/18/2022,$120.62*,$138.12,02/25/2022,14.51%,"
"
82,"
	",PLTR,Long,02/18/2022,$10.21*,$12.05,02/25/2022,18.02%,"
"
83,"
	",SQ,Long,02/18/2022,$90.27*,$116.00,02/24/2022,28.50%,"
"
84,"
	",SOFI,Long,02/23/2022,$9.35*,$10.29,02/24/2022,10.05%,"
"
85,"
	",GLD,Long,06/16/2021,$169.35*,$183.48,02/24/2022,8.34%,"
"
86,"
	",TSLA,Short,05/05/2020,$732.42*,$699.00,02/24/2022,4.56%,"
"
87,"
	",HD,Short,05/05/2020,$284.21*,$296.32,02/24/2022,-4.26%,"
"
88,"
	",PAYX,Short,11/17/2020,$107.65*,$111.28,02/24/2022,-3.37%,"
"
89,"
	",CLOV,Long,02/23/2022,$1.98,$2.58,02/23/2022,30.30%,"
"
90,"
	",NKE,Short,09/09/2021,$147.84*,$138.54,02/23/2022,6.29%,"
"
91,"
	",TGT,Short,08/14/2021,$213.20*,$195.20,02/23/2022,8.44%,"
"
92,"
	",WDAY,Short,05/28/2021,$237.50*,$218.50,02/23/2022,8.00%,"
"
93,"
	",ROKU,Long,02/18/2022,$104.85,$120.25,02/22/2022,14.68%,"
"
94,"
	",GDX,Long,12/02/2021,$30.20,$34.75,02/22/2022,15.07%,"
"
95,"
	",TWTR,Long,01/21/2022,$35.12,$38.75,02/10/2022,10.34%,"
"
96,"
	",SQ,Long,02/03/2022,$101.65,$116.05,02/10/2022,14.17%,"
"
